id	name	parent_condition_group_id	date_created	date_modified
84	Disorders of adult personality and behaviour	5	2018-02-10 05:15:39	2018-02-10 05:15:39
85	Mental retardation	5	2018-02-10 05:15:39	2018-02-10 05:15:39
86	Disorders of psychological development	5	2018-02-10 05:15:39	2018-02-10 05:15:39
87	Behavioural and emotional disorders with onset usually occurring in childhood and adolescence	5	2018-02-10 05:15:39	2018-02-10 05:15:39
88	Unspecified mental disorder	5	2018-02-10 05:15:39	2018-02-10 05:15:39
89	Inflammatory diseases of the central nervous system	6	2018-02-10 05:15:39	2018-02-10 05:15:39
90	Systemic atrophies primarily affecting the central nervous system	6	2018-02-10 05:15:39	2018-02-10 05:15:39
91	Extrapyramidal and movement disorders	6	2018-02-10 05:15:39	2018-02-10 05:15:39
92	Other degenerative diseases of the nervous system	6	2018-02-10 05:15:39	2018-02-10 05:15:39
93	Demyelinating diseases of the central nervous system	6	2018-02-10 05:15:39	2018-02-10 05:15:39
94	Episodic and paroxysmal disorders	6	2018-02-10 05:15:39	2018-02-10 05:15:39
95	Nerve, nerve root and plexus disorders	6	2018-02-10 05:15:39	2018-02-10 05:15:39
96	Polyneuropathies and other disorders of the peripheral nervous system	6	2018-02-10 05:15:39	2018-02-10 05:15:39
97	Diseases of myoneural junction and muscle	6	2018-02-10 05:15:39	2018-02-10 05:15:39
98	Cerebral palsy and other paralytic syndromes	6	2018-02-10 05:15:39	2018-02-10 05:15:39
99	Other disorders of the nervous system	6	2018-02-10 05:15:39	2018-02-10 05:15:39
100	Disorders of eyelid, lacrimal system and orbit	7	2018-02-10 05:15:39	2018-02-10 05:15:39
101	Disorders of conjunctiva	7	2018-02-10 05:15:39	2018-02-10 05:15:39
102	Disorders of sclera, cornea, iris and ciliary body	7	2018-02-10 05:15:39	2018-02-10 05:15:39
103	Disorders of lens	7	2018-02-10 05:15:39	2018-02-10 05:15:39
104	Disorders of choroid and retina	7	2018-02-10 05:15:39	2018-02-10 05:15:39
105	Glaucoma	7	2018-02-10 05:15:39	2018-02-10 05:15:39
106	Disorders of vitreous body and globe	7	2018-02-10 05:15:39	2018-02-10 05:15:39
107	Disorders of optic nerve and visual pathways	7	2018-02-10 05:15:39	2018-02-10 05:15:39
108	Disorders of ocular muscles, binocular movement, accommodation and refraction	7	2018-02-10 05:15:39	2018-02-10 05:15:39
109	Visual disturbances and blindness	7	2018-02-10 05:15:39	2018-02-10 05:15:39
110	Other disorders of eye and adnexa	7	2018-02-10 05:15:39	2018-02-10 05:15:39
111	Diseases of external ear	8	2018-02-10 05:15:39	2018-02-10 05:15:39
112	Diseases of middle ear and mastoid	8	2018-02-10 05:15:39	2018-02-10 05:15:39
113	Diseases of inner ear	8	2018-02-10 05:15:39	2018-02-10 05:15:39
114	Other disorders of ear	8	2018-02-10 05:15:39	2018-02-10 05:15:39
115	Acute rheumatic fever	9	2018-02-10 05:15:39	2018-02-10 05:15:39
116	Chronic rheumatic heart diseases	9	2018-02-10 05:15:39	2018-02-10 05:15:39
117	Hypertensive diseases	9	2018-02-10 05:15:39	2018-02-10 05:15:39
118	Ischaemic heart diseases	9	2018-02-10 05:15:39	2018-02-10 05:15:39
119	Pulmonary heart disease and diseases of pulmonary circulation	9	2018-02-10 05:15:39	2018-02-10 05:15:39
120	Other forms of heart disease	9	2018-02-10 05:15:39	2018-02-10 05:15:39
121	Cerebrovascular diseases	9	2018-02-10 05:15:39	2018-02-10 05:15:39
122	Diseases of arteries, arterioles and capillaries	9	2018-02-10 05:15:39	2018-02-10 05:15:39
123	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	9	2018-02-10 05:15:39	2018-02-10 05:15:39
124	Other and unspecified disorders of the circulatory system	9	2018-02-10 05:15:39	2018-02-10 05:15:39
125	Acute upper respiratory infections	10	2018-02-10 05:15:39	2018-02-10 05:15:39
126	Influenza and pneumonia	10	2018-02-10 05:15:39	2018-02-10 05:15:39
127	Other acute lower respiratory infections	10	2018-02-10 05:15:39	2018-02-10 05:15:39
128	Other diseases of upper respiratory tract	10	2018-02-10 05:15:39	2018-02-10 05:15:39
129	Chronic lower respiratory diseases	10	2018-02-10 05:15:39	2018-02-10 05:15:39
130	Lung diseases due to external agents	10	2018-02-10 05:15:39	2018-02-10 05:15:39
131	Other respiratory diseases principally affecting the interstitium	10	2018-02-10 05:15:39	2018-02-10 05:15:39
132	Suppurative and necrotic conditions of lower respiratory tract	10	2018-02-10 05:15:39	2018-02-10 05:15:39
133	Other diseases of pleura	10	2018-02-10 05:15:39	2018-02-10 05:15:39
134	Other diseases of the respiratory system	10	2018-02-10 05:15:39	2018-02-10 05:15:39
135	Diseases of oral cavity, salivary glands and jaws	11	2018-02-10 05:15:39	2018-02-10 05:15:39
136	Diseases of oesophagus, stomach and duodenum	11	2018-02-10 05:15:39	2018-02-10 05:15:39
137	Diseases of appendix	11	2018-02-10 05:15:39	2018-02-10 05:15:39
138	Hernia	11	2018-02-10 05:15:39	2018-02-10 05:15:39
139	Noninfective enteritis and colitis	11	2018-02-10 05:15:39	2018-02-10 05:15:39
140	Other diseases of intestines	11	2018-02-10 05:15:39	2018-02-10 05:15:39
141	Diseases of peritoneum	11	2018-02-10 05:15:39	2018-02-10 05:15:39
142	Diseases of liver	11	2018-02-10 05:15:39	2018-02-10 05:15:39
143	Disorders of gallbladder, biliary tract and pancreas	11	2018-02-10 05:15:39	2018-02-10 05:15:39
144	Other diseases of the digestive system	11	2018-02-10 05:15:39	2018-02-10 05:15:39
145	Infections of the skin and subcutaneous tissue	12	2018-02-10 05:15:39	2018-02-10 05:15:39
146	Bullous disorders	12	2018-02-10 05:15:39	2018-02-10 05:15:39
147	Dermatitis and eczema	12	2018-02-10 05:15:39	2018-02-10 05:15:39
148	Papulosquamous disorders	12	2018-02-10 05:15:39	2018-02-10 05:15:39
149	Urticaria and erythema	12	2018-02-10 05:15:39	2018-02-10 05:15:39
150	Radiation-related disorders of the skin and subcutaneous tissue	12	2018-02-10 05:15:39	2018-02-10 05:15:39
151	Disorders of skin appendages	12	2018-02-10 05:15:39	2018-02-10 05:15:39
152	Other disorders of the skin and subcutaneous tissue	12	2018-02-10 05:15:39	2018-02-10 05:15:39
153	Arthropathies	13	2018-02-10 05:15:39	2018-02-10 05:15:39
154	Infectious arthropathies	153	2018-02-10 05:15:39	2018-02-10 05:15:39
155	Inflammatory polyarthropathies	153	2018-02-10 05:15:39	2018-02-10 05:15:39
156	Arthrosis	153	2018-02-10 05:15:39	2018-02-10 05:15:39
157	Other joint disorders	153	2018-02-10 05:15:39	2018-02-10 05:15:39
158	Systemic connective tissue disorders	13	2018-02-10 05:15:39	2018-02-10 05:15:39
159	Dorsopathies	13	2018-02-10 05:15:39	2018-02-10 05:15:39
160	Deforming dorsopathies	159	2018-02-10 05:15:39	2018-02-10 05:15:39
161	Spondylopathies	159	2018-02-10 05:15:39	2018-02-10 05:15:39
162	Other dorsopathies	159	2018-02-10 05:15:39	2018-02-10 05:15:39
163	Soft tissue disorders	13	2018-02-10 05:15:39	2018-02-10 05:15:39
164	Disorders of muscles	163	2018-02-10 05:15:39	2018-02-10 05:15:39
165	Disorders of synovium and tendon	163	2018-02-10 05:15:39	2018-02-10 05:15:39
166	Other soft tissue disorders	163	2018-02-10 05:15:39	2018-02-10 05:15:39
167	Osteopathies and chondropathies	13	2018-02-10 05:15:39	2018-02-10 05:15:39
168	Disorders of bone density and structure	167	2018-02-10 05:15:39	2018-02-10 05:15:39
169	Other osteopathies	167	2018-02-10 05:15:39	2018-02-10 05:15:39
170	Chondropathies	167	2018-02-10 05:15:39	2018-02-10 05:15:39
171	Other disorders of the musculoskeletal system and connective tissue	13	2018-02-10 05:15:39	2018-02-10 05:15:39
172	Glomerular diseases	14	2018-02-10 05:15:39	2018-02-10 05:15:39
173	Renal tubulo-interstitial diseases	14	2018-02-10 05:15:39	2018-02-10 05:15:39
174	Renal failure	14	2018-02-10 05:15:39	2018-02-10 05:15:39
175	Urolithiasis	14	2018-02-10 05:15:39	2018-02-10 05:15:39
176	Other disorders of kidney and ureter	14	2018-02-10 05:15:39	2018-02-10 05:15:39
177	Other diseases of urinary system	14	2018-02-10 05:15:39	2018-02-10 05:15:39
178	Diseases of male genital organs	14	2018-02-10 05:15:39	2018-02-10 05:15:39
179	Disorders of breast	14	2018-02-10 05:15:39	2018-02-10 05:15:39
180	Inflammatory diseases of female pelvic organs	14	2018-02-10 05:15:39	2018-02-10 05:15:39
181	Noninflammatory disorders of female genital tract	14	2018-02-10 05:15:39	2018-02-10 05:15:39
182	Other disorders of the genitourinary system	14	2018-02-10 05:15:39	2018-02-10 05:15:39
183	Pregnancy with abortive outcome	15	2018-02-10 05:15:39	2018-02-10 05:15:39
184	Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium	15	2018-02-10 05:15:39	2018-02-10 05:15:39
185	Other maternal disorders predominantly related to pregnancy	15	2018-02-10 05:15:39	2018-02-10 05:15:39
186	Maternal care related to the fetus and amniotic cavity and possible delivery problems	15	2018-02-10 05:15:39	2018-02-10 05:15:39
187	Complications of labour and delivery	15	2018-02-10 05:15:39	2018-02-10 05:15:39
188	Delivery	15	2018-02-10 05:15:39	2018-02-10 05:15:39
189	Complications predominantly related to the puerperium	15	2018-02-10 05:15:39	2018-02-10 05:15:39
190	Other obstetric conditions, not elsewhere classified	15	2018-02-10 05:15:39	2018-02-10 05:15:39
191	Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery	16	2018-02-10 05:15:39	2018-02-10 05:15:39
192	Disorders related to length of gestation and fetal growth	16	2018-02-10 05:15:39	2018-02-10 05:15:39
193	Birth trauma	16	2018-02-10 05:15:39	2018-02-10 05:15:39
194	Respiratory and cardiovascular disorders specific to the perinatal period	16	2018-02-10 05:15:39	2018-02-10 05:15:39
195	Infections specific to the perinatal period	16	2018-02-10 05:15:39	2018-02-10 05:15:39
196	Haemorrhagic and haematological disorders of fetus and newborn	16	2018-02-10 05:15:39	2018-02-10 05:15:39
197	Transitory endocrine and metabolic disorders specific to fetus and newborn	16	2018-02-10 05:15:39	2018-02-10 05:15:39
198	Digestive system disorders of fetus and newborn	16	2018-02-10 05:15:39	2018-02-10 05:15:39
199	Conditions involving the integument and temperature regulation of fetus and newborn	16	2018-02-10 05:15:39	2018-02-10 05:15:39
200	Other disorders originating in the perinatal period	16	2018-02-10 05:15:39	2018-02-10 05:15:39
201	Congenital malformations of the nervous system	17	2018-02-10 05:15:39	2018-02-10 05:15:39
202	Congenital malformations of eye, ear, face and neck	17	2018-02-10 05:15:39	2018-02-10 05:15:39
203	Congenital malformations of the circulatory system	17	2018-02-10 05:15:39	2018-02-10 05:15:39
204	Congenital malformations of the respiratory system	17	2018-02-10 05:15:39	2018-02-10 05:15:39
205	Cleft lip and cleft palate	17	2018-02-10 05:15:39	2018-02-10 05:15:39
206	Other congenital malformations of the digestive system	17	2018-02-10 05:15:39	2018-02-10 05:15:39
207	Congenital malformations of genital organs	17	2018-02-10 05:15:39	2018-02-10 05:15:39
208	Congenital malformations of the urinary system	17	2018-02-10 05:15:39	2018-02-10 05:15:39
209	Congenital malformations and deformations of the musculoskeletal system	17	2018-02-10 05:15:39	2018-02-10 05:15:39
210	Other congenital malformations	17	2018-02-10 05:15:39	2018-02-10 05:15:39
211	Chromosomal abnormalities, not elsewhere classified	17	2018-02-10 05:15:39	2018-02-10 05:15:39
212	Symptoms and signs involving the circulatory and respiratory systems	18	2018-02-10 05:15:39	2018-02-10 05:15:39
213	Symptoms and signs involving the digestive system and abdomen	18	2018-02-10 05:15:39	2018-02-10 05:15:39
214	Symptoms and signs involving the skin and subcutaneous tissue	18	2018-02-10 05:15:39	2018-02-10 05:15:39
215	Symptoms and signs involving the nervous and musculoskeletal systems	18	2018-02-10 05:15:39	2018-02-10 05:15:39
216	Symptoms and signs involving the urinary system	18	2018-02-10 05:15:39	2018-02-10 05:15:39
217	Symptoms and signs involving cognition, perception, emotional state and behaviour	18	2018-02-10 05:15:39	2018-02-10 05:15:39
218	Symptoms and signs involving speech and voice	18	2018-02-10 05:15:39	2018-02-10 05:15:39
219	General symptoms and signs	18	2018-02-10 05:15:39	2018-02-10 05:15:39
220	Abnormal findings on examination of blood, without diagnosis	18	2018-02-10 05:15:39	2018-02-10 05:15:39
221	Abnormal findings on examination of urine, without diagnosis	18	2018-02-10 05:15:39	2018-02-10 05:15:39
222	Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis	18	2018-02-10 05:15:39	2018-02-10 05:15:39
223	Abnormal findings on diagnostic imaging and in function studies, without diagnosis	18	2018-02-10 05:15:39	2018-02-10 05:15:39
224	Ill-defined and unknown causes of mortality	18	2018-02-10 05:15:39	2018-02-10 05:15:39
225	Injuries to the head	19	2018-02-10 05:15:39	2018-02-10 05:15:39
226	Injuries to the neck	19	2018-02-10 05:15:39	2018-02-10 05:15:39
227	Injuries to the thorax	19	2018-02-10 05:15:39	2018-02-10 05:15:39
228	Injuries to the abdomen, lower back, lumbar spine and pelvis	19	2018-02-10 05:15:39	2018-02-10 05:15:39
229	Injuries to the shoulder and upper arm	19	2018-02-10 05:15:39	2018-02-10 05:15:39
230	Injuries to the elbow and forearm	19	2018-02-10 05:15:39	2018-02-10 05:15:39
231	Injuries to the wrist and hand	19	2018-02-10 05:15:39	2018-02-10 05:15:39
232	Injuries to the hip and thigh	19	2018-02-10 05:15:39	2018-02-10 05:15:39
233	Injuries to the knee and lower leg	19	2018-02-10 05:15:39	2018-02-10 05:15:39
234	Injuries to the ankle and foot	19	2018-02-10 05:15:39	2018-02-10 05:15:39
235	Injuries involving multiple body regions	19	2018-02-10 05:15:39	2018-02-10 05:15:39
236	Injuries to unspecified part of trunk, limb or body region	19	2018-02-10 05:15:39	2018-02-10 05:15:39
237	Effects of foreign body entering through natural orifice	19	2018-02-10 05:15:39	2018-02-10 05:15:39
238	Burns and corrosions	19	2018-02-10 05:15:39	2018-02-10 05:15:39
239	Burns and corrosions of external body surface, specified by site	238	2018-02-10 05:15:39	2018-02-10 05:15:39
240	Burns and corrosions confined to eye and internal organs	238	2018-02-10 05:15:39	2018-02-10 05:15:39
241	Burns and corrosions of multiple and unspecified body regions	238	2018-02-10 05:15:39	2018-02-10 05:15:39
242	Frostbite	19	2018-02-10 05:15:39	2018-02-10 05:15:39
243	Poisoning by drugs, medicaments and biological substances	19	2018-02-10 05:15:39	2018-02-10 05:15:39
244	Toxic effects of substances chiefly nonmedicinal as to source	19	2018-02-10 05:15:39	2018-02-10 05:15:39
245	Other and unspecified effects of external causes	19	2018-02-10 05:15:39	2018-02-10 05:15:39
246	Certain early complications of trauma	19	2018-02-10 05:15:39	2018-02-10 05:15:39
247	Complications of surgical and medical care, not elsewhere classified	19	2018-02-10 05:15:39	2018-02-10 05:15:39
248	Sequelae of injuries, of poisoning and of other consequences of external causes	19	2018-02-10 05:15:39	2018-02-10 05:15:39
249	Accidents	20	2018-02-10 05:15:39	2018-02-10 05:15:39
250	Transport accidents	249	2018-02-10 05:15:39	2018-02-10 05:15:39
251	Pedestrian injured in transport accident	250	2018-02-10 05:15:39	2018-02-10 05:15:39
252	Pedal cyclist injured in transport accident	250	2018-02-10 05:15:39	2018-02-10 05:15:39
253	Motorcycle rider injured in transport accident	250	2018-02-10 05:15:39	2018-02-10 05:15:39
254	Occupant of three-wheeled motor vehicle injured in transport accident	250	2018-02-10 05:15:39	2018-02-10 05:15:39
255	Car occupant injured in transport accident	250	2018-02-10 05:15:39	2018-02-10 05:15:39
256	Occupant of pick-up truck or van injured in transport accident	250	2018-02-10 05:15:39	2018-02-10 05:15:39
257	Occupant of heavy transport vehicle injured in transport accident	250	2018-02-10 05:15:39	2018-02-10 05:15:39
258	Bus occupant injured in transport accident	250	2018-02-10 05:15:39	2018-02-10 05:15:39
259	Other land transport accidents	250	2018-02-10 05:15:39	2018-02-10 05:15:39
260	Water transport accidents	250	2018-02-10 05:15:39	2018-02-10 05:15:39
261	Air and space transport accidents	250	2018-02-10 05:15:39	2018-02-10 05:15:39
262	Other and unspecified transport accidents	250	2018-02-10 05:15:39	2018-02-10 05:15:39
263	Other external causes of accidental injury	249	2018-02-10 05:15:39	2018-02-10 05:15:39
264	Falls	263	2018-02-10 05:15:39	2018-02-10 05:15:39
265	Exposure to inanimate mechanical forces	263	2018-02-10 05:15:39	2018-02-10 05:15:39
266	Exposure to animate mechanical forces	263	2018-02-10 05:15:39	2018-02-10 05:15:39
267	Accidental drowning and submersion	263	2018-02-10 05:15:39	2018-02-10 05:15:39
268	Other accidental threats to breathing	263	2018-02-10 05:15:39	2018-02-10 05:15:39
269	Exposure to electric current, radiation and extreme ambient air temperature and pressure	263	2018-02-10 05:15:39	2018-02-10 05:15:39
270	Exposure to smoke, fire and flames	263	2018-02-10 05:15:39	2018-02-10 05:15:39
271	Contact with heat and hot substances	263	2018-02-10 05:15:39	2018-02-10 05:15:39
272	Contact with venomous animals and plants	263	2018-02-10 05:15:39	2018-02-10 05:15:39
273	Exposure to forces of nature	263	2018-02-10 05:15:39	2018-02-10 05:15:39
274	Accidental poisoning by and exposure to noxious substances	263	2018-02-10 05:15:39	2018-02-10 05:15:39
275	Overexertion, travel and privation	263	2018-02-10 05:15:39	2018-02-10 05:15:39
276	Accidental exposure to other and unspecified factors	263	2018-02-10 05:15:39	2018-02-10 05:15:39
277	Intentional self-harm	20	2018-02-10 05:15:39	2018-02-10 05:15:39
278	Assault	20	2018-02-10 05:15:39	2018-02-10 05:15:39
279	Event of undetermined intent	20	2018-02-10 05:15:39	2018-02-10 05:15:39
280	Legal intervention and operations of war	20	2018-02-10 05:15:39	2018-02-10 05:15:39
281	Complications of medical and surgical care	20	2018-02-10 05:15:39	2018-02-10 05:15:39
282	Drugs, medicaments and biological substances causing adverse effects in therapeutic use	281	2018-02-10 05:15:39	2018-02-10 05:15:39
283	Misadventures to patients during surgical and medical care	281	2018-02-10 05:15:39	2018-02-10 05:15:39
284	Medical devices associated with adverse incidents in diagnostic and therapeutic use	281	2018-02-10 05:15:39	2018-02-10 05:15:39
285	Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure	281	2018-02-10 05:15:39	2018-02-10 05:15:39
286	Sequelae of external causes of morbidity and mortality	20	2018-02-10 05:15:39	2018-02-10 05:15:39
287	Supplementary factors related to causes of morbidity and mortality classified elsewhere	20	2018-02-10 05:15:39	2018-02-10 05:15:39
288	Persons encountering health services for examination and investigation	21	2018-02-10 05:15:39	2018-02-10 05:15:39
289	Persons with potential health hazards related to communicable diseases	21	2018-02-10 05:15:39	2018-02-10 05:15:39
290	Persons encountering health services in circumstances related to reproduction	21	2018-02-10 05:15:39	2018-02-10 05:15:39
291	Persons encountering health services for specific procedures and health care	21	2018-02-10 05:15:39	2018-02-10 05:15:39
292	Persons with potential health hazards related to socioeconomic and psychosocial circumstances	21	2018-02-10 05:15:39	2018-02-10 05:15:39
293	Persons encountering health services in other circumstances	21	2018-02-10 05:15:39	2018-02-10 05:15:39
294	Persons with potential health hazards related to family and personal history and certain conditions influencing health status	21	2018-02-10 05:15:39	2018-02-10 05:15:39
295	Provisional assignment of new diseases of uncertain etiology or emergency use	22	2018-02-10 05:15:39	2018-02-10 05:15:39
296	Resistance to antimicrobial and antineoplastic drugs	22	2018-02-10 05:15:39	2018-02-10 05:15:39
297	Cholera	23	2018-02-10 05:15:39	2018-02-10 05:15:39
298	Typhoid and paratyphoid fevers	23	2018-02-10 05:15:39	2018-02-10 05:15:39
299	Other salmonella infections	23	2018-02-10 05:15:39	2018-02-10 05:15:39
300	Shigellosis	23	2018-02-10 05:15:39	2018-02-10 05:15:39
301	Other bacterial intestinal infections	23	2018-02-10 05:15:39	2018-02-10 05:15:39
302	Other bacterial foodborne intoxications, not elsewhere classified	23	2018-02-10 05:15:39	2018-02-10 05:15:39
303	Amoebiasis	23	2018-02-10 05:15:39	2018-02-10 05:15:39
304	Other protozoal intestinal diseases	23	2018-02-10 05:15:39	2018-02-10 05:15:39
305	Viral and other specified intestinal infections	23	2018-02-10 05:15:39	2018-02-10 05:15:39
